,Symbol,Company Name
611,RKFORGE,Ramkrishna Forgings Limited
612,PSPPROJECT,PSP Projects Limited
613,PURVA,Puravankara Limited
614,AMRUTANJAN,Amrutanjan Health Care Limited
615,JAGRAN,Jagran Prakashan Limited
616,INEOSSTYRO,INEOS Styrolution India Limited
617,HESTERBIO,Hester Biosciences Limited
618,RAMCOSYS,Ramco Systems Limited
619,WELENT,Welspun Enterprises Limited
620,ANANTRAJ,Anant Raj Limited
621,AUTOAXLES,Automotive Axles Limited
622,WSTCSTPAPR,West Coast Paper Mills Limited
623,SWARAJENG,Swaraj Engines Limited
624,TVTODAY,TV Today Network Limited
625,SHK,S H Kelkar and Company Limited
626,DBCORP,D.B.Corp Limited
627,MAITHANALL,Maithan Alloys Limited
628,FMGOETZE,Federal-Mogul Goetze (India) Limited.
629,WABAG,VA Tech Wabag Limited
630,VSTTILLERS,V.S.T Tillers Tractors Limited
631,INOXWIND,Inox Wind Limited
632,DALMIASUG,Dalmia Bharat Sugar and Industries Limited
633,JAICORPLTD,Jai Corp Limited
634,SARDAEN,Sarda Energy & Minerals Limited
635,TIDEWATER,Tide Water Oil Company (India) Limited
636,LUMAXIND,Lumax Industries Limited
637,SOUTHBANK,The South Indian Bank Limited
638,CHEMCON,Chemcon Speciality Chemicals Limited
639,STOVEKRAFT,Stove Kraft Limited
640,CHENNPETRO,Chennai Petroleum Corporation Limited
641,GABRIEL,Gabriel India Limited
642,ORISSAMINE,The Orissa Minerals Development Company Limited
643,TEJASNET,Tejas Networks Limited
